2999582722	2	0
1268514819	3	101
2019295236	2	17
2097807364	8	48
2014838794	61	714
1966604299	34	384
69206028	256	16351
2403860494	1	0
2156789775	3	3
2324299791	2	7
2039349267	15	175
2640969750	49	382
1236271126	83	1644
1205207064	17	187
1580335130	1	3
2088763419	2	18
2638086171	1	9
2435711004	1	2
2463498270	1	5
2508849183	2	0
2704408608	1	1
2810314785	10	134
2486173730	1	0
2417229859	8	376
2654076964	1	0
2124677158	9	39
2973630505	1	0
2405433388	13	416
2267283502	1	94
2974023729	1	9
2160984115	5	77
268304436	2	13
2243952695	25	131
2203844664	3	2
2498756667	1	0
2295857214	2	9
2578972736	1	0
2696544322	1	3
2310144072	1	1
1467220041	90	682
1901985866	1	0
2984640591	1	1
2171469904	32	158
2305425491	3	82
2101739605	2	4
2521694296	1	4
2973368416	1	6
2162950250	3	56
157679726	5	20
2966683759	2	61
2802581616	3	5
196739186	2	18
2584871032	1	6
1270481020	1	1
2710700157	2	2
2766930047	2	6
2127954048	11	465
1980629120	1	10
1985085574	2	13
2008154248	8	1026
2508456075	15	305
2307391629	12	206
2765488279	1	0
2988703901	3	62
2276982941	1	3
2779775136	5	8
2126119073	4	1773
2695233697	1	8
2126381219	10	169
2153382052	9	200
2973499560	1	1
2154954921	7	8
2131755178	35	3493
2307784873	3	27
2149712041	6	291
2116026538	4	7
2133459118	1	5
2736914607	2	136
1996488890	125	1219
2775974074	3	4
2669674684	1	0
2018902206	28	201
2308440255	4	165
2111832256	3	0
2772041920	2	8
2639921346	4	53
2162426052	2	652
2935750857	1	4
1524236491	24	384
2142634190	55	235
2742288592	5	11
2265579729	3	94
2973499601	1	4
2146304213	25	488
2025324758	1	0
2505703639	2	1
2640576736	1	0
570949856	1	14
2553807075	1	4
317587685	61	1726
2304245990	13	56
2631663852	13	10
2151678189	277	12458
34996467	7	70
2230845692	1	12
1715208445	18	95
2032795903	2	11
347341059	92	1315
2155872517	30	108
2260205830	1	21
2502689030	2	2
199753992	6	135
2104230149	1	14
2463367431	1	1
2086928653	71	1374
2698379534	1	3
2611085587	13	33
2717122838	1	0
1985872151	12	97
2046951704	7	126
2029256983	5	28
2040529185	8	349
2038038819	295	12517
2686189862	1	6
2270560552	10	197
2693005609	1	1
2479882538	4	40
2464678187	2	67
2318795053	1	34
2150760751	17	356
2558132527	4	17
2737439023	2	7
2655387958	1	50
2158362937	15	695
2702180667	1	13
2076705084	94	676
2299134274	2	6
2222457158	16	47
2193228104	1	10
2113274185	2	2
2506621262	1	11
2134114639	9	210
2308702544	10	379
2907832659	6	0
2634678614	1	15
2336096599	2	8
2130182487	3	1
1242956126	2	61
2794062175	74	4376
2541355361	1	1
2614100323	1	1
2478702949	1	0
2102526312	6	189
2916090225	1	97
2254438771	56	954
2080113011	3	31
694944117	458	8071
2111701366	10	85
2120089972	17	158
2122056056	43	513
2790392185	163	1312
2499805560	11	50
2804941177	1	0
2974155132	1	16
1763836286	4	3
2989752703	1	14
2641887617	1	13
2322727299	3	2
2719220100	1	63
2799829383	1	1
2140799372	4	62
2514485645	1	3
2154955148	5	18
2227831183	1	2
2798649745	1	14
69337491	46	827
2228093336	2	10
2068578718	1	4
2487484831	2	2
2770731424	7	60
2789605794	1	14
2950168996	2	3
2157707685	9	109
2924216745	1	1
2001469868	32	137
2949120429	3	5
2223767980	3	28
2545025452	1	2
2160722355	2	35
317981109	2	0
2106720695	2	26
2088239547	66	501
2346451400	1	30
2402288076	1	0
2187985358	4	1
887882191	27	366
2105016783	2	0
2241987025	12	3019
2103574990	3	25
1226703316	6	31
2673213910	3	37
2125332953	4	6
2947285469	1	8
2017591774	11	647
2127299039	3	12
2135687646	10	32
2399273444	5	2
2781348325	3	204
2167931369	5	64
2567963119	1	0
2470314482	3	27
2103312884	4	163
2037907961	13	237
2074477052	50	205
2912420349	1	0
2222850559	2	2
2223374850	1	16
2108555781	14	162
703726088	30	162
2223899146	2	33
2027029003	4	45
2320630284	65	1710
1967784465	2	55
2301886999	15	53
2649358872	1	1
2653291036	1	4
2069103141	60	540
2133983782	185	11604
2736914983	3	0
2642936365	1	1
2696413741	1	6
1978794547	1	21
2401763891	1	6
2309751351	9	232
2063335991	1	49
2224030271	1	0
242352704	1	17
2222719553	1	10
2917401154	1	20
176947782	14	222
732430926	2	1
2487747151	1	10
2779251282	14	707
2705326676	1	11
2280391254	54	353
2534015575	2	1
2153644633	2	494
1542193756	1	0
2482111069	1	3
18743903	5	62
212075104	3	11
2705326691	18	720
939393636	1	3
2282357352	1	13
2205155946	28	171
2753692276	2	2
2721448566	1	8
2500461176	1	0
2342912634	7	64
2304508539	10	103
2101871227	51	174
2063467134	2	11
2226782853	1	12
2721055368	1	29
50856585	18	488
1910768266	23	160
151257739	7	108
2598896267	2	91
2265580170	4	16
2261779088	2	43
2154300049	25	98
2973500050	1	1
1796866708	36	398
983433876	6	11
132645526	7	29
2305688220	4	217
2878997149	1	28
2038563488	4	55
2808087206	1	0
2278163111	1	18
2113798826	1	9
2309620396	12	219
2573206190	3	24
2658796208	2	5
2159674033	3	31
1547829939	6	81
2742944435	3	32
2162164411	1	93
2713977532	1	2
2599420603	1	7
2345927361	116	4307
134742728	30	620
2133852874	1	10
2666267344	1	15
2762343120	1	20
2909405906	2	0
3006137044	1	0
2183529176	28	2617
2779644632	1	30
2495349467	9	71
2734818013	1	1
2945712862	4	0
2705720031	1	4
2967732957	1	0
2135294691	2	13
2528641763	1	6
93979365	36	899
2108949221	2	6
2771124967	1	3
2135425768	15	470
80478970	6	49
2518942458	1	8
2898526975	4	19
2963145475	1	10
2224030469	38	1527
2785936133	2	216
2166620933	3	6
2317353737	12	40
2680292106	3	139
2591818511	1	9
2099643152	4	139
2952266515	3	0
2609513235	1	9
2103051030	5	67
2973238040	1	1
2230846234	1	25
2009989914	9	127
2697986844	2	23
2312110885	8	57
2136212261	1	2
2512651046	1	8
2529166119	43	930
2000552746	35	1176
2103837482	1	11
2222457645	4	60
2705064750	1	0
2889351983	1	2
2899444528	2	2
2302673716	5	7
1225130805	12	42
2803761974	2	4
2097677111	2	2
2094531386	5	45
1254753082	2	17
2146304839	5	86
2312635209	1	1
2739798859	1	0
2322334549	3	2
2696676182	1	0
2111439708	4	58
2077885277	18	107
2130969438	7	52
2664170340	45	714
2291532646	1	2
